"broodYr","retYr","System","fwAge","oAge","ret"
1978,1985,"Wood",2,4,0
1978,1983,"Wood",3,1,0
1978,1984,"Wood",3,2,0
1978,1985,"Wood",3,3,0
1978,1986,"Wood",3,4,0
1979,1981,"Wood",0,1,0
1979,1982,"Wood",0,2,3.38498872648512e-12
1979,1983,"Wood",0,3,6.06510517732369e-12
1979,1984,"Wood",0,4,10.4448482737791
1979,1985,"Wood",0,5,0
1979,1982,"Wood",1,1,16.2855315543595
1979,1983,"Wood",1,2,2360.52868984207
1979,1984,"Wood",1,3,1708.95277037839
1979,1985,"Wood",1,4,1.41931123098158
1979,1986,"Wood",1,5,0
1979,1983,"Wood",2,1,0
1979,1984,"Wood",2,2,31.6201758507416
1979,1985,"Wood",2,3,25.4172530554376
1979,1986,"Wood",2,4,0
1979,1984,"Wood",3,1,0
1979,1985,"Wood",3,2,0
1979,1986,"Wood",3,3,0
1979,1987,"Wood",3,4,0
1980,1982,"Wood",0,1,0
1980,1983,"Wood",0,2,4.4479823472979e-12
1980,1984,"Wood",0,3,7.22843935698883e-12
1980,1985,"Wood",0,4,4.93400191663762e-12
1980,1986,"Wood",0,5,0
1980,1983,"Wood",1,1,0
1980,1984,"Wood",1,2,472.215585427267
1980,1985,"Wood",1,3,810.844449786142
1980,1986,"Wood",1,4,1.48602539290381
1980,1987,"Wood",1,5,0
1980,1984,"Wood",2,1,0
1980,1985,"Wood",2,2,72.5336266912387
1980,1986,"Wood",2,3,114.712430318056
1980,1987,"Wood",2,4,0
1980,1985,"Wood",3,1,0
1980,1986,"Wood",3,2,0
1980,1987,"Wood",3,3,0
1980,1988,"Wood",3,4,0
1981,1983,"Wood",0,1,0
1981,1984,"Wood",0,2,3.28077942785162e-12
1981,1985,"Wood",0,3,4.7639136846351e-12
1981,1986,"Wood",0,4,2.3103105516457
1981,1987,"Wood",0,5,0
1981,1984,"Wood",1,1,0
1981,1985,"Wood",1,2,613.921915817278
1981,1986,"Wood",1,3,1383.07200303869
1981,1987,"Wood",1,4,3.94080843650357e-05
1981,1988,"Wood",1,5,0
1981,1985,"Wood",2,1,0
1981,1986,"Wood",2,2,69.7873798805029
1981,1987,"Wood",2,3,162.821832050501
1981,1988,"Wood",2,4,0
1981,1986,"Wood",3,1,0
1981,1987,"Wood",3,2,0
1981,1988,"Wood",3,3,0
1981,1989,"Wood",3,4,0
1982,1984,"Wood",0,1,0
1982,1985,"Wood",0,2,3.74304213647024e-12
1982,1986,"Wood",0,3,5.47446908238783e-12
1982,1987,"Wood",0,4,0.000263200617850207
1982,1988,"Wood",0,5,0
1982,1985,"Wood",1,1,3.62766750504082
1982,1986,"Wood",1,2,533.178132332403
1982,1987,"Wood",1,3,1388.42260358711
1982,1988,"Wood",1,4,12.8213885284746
1982,1989,"Wood",1,5,0
1982,1986,"Wood",2,1,0
1982,1987,"Wood",2,2,125.734280589424
1982,1988,"Wood",2,3,21.5862322791723
1982,1989,"Wood",2,4,0
1982,1987,"Wood",3,1,0
1982,1988,"Wood",3,2,0
1982,1989,"Wood",3,3,0
1982,1990,"Wood",3,4,0
1983,1985,"Wood",0,1,0
1983,1986,"Wood",0,2,2.7346645638022e-12
1983,1987,"Wood",0,3,1.04130478256289
1983,1988,"Wood",0,4,9.79810806910998e-12
1983,1989,"Wood",0,5,0
1983,1986,"Wood",1,1,1.35870122040682
1983,1987,"Wood",1,2,1839.38277120345
1983,1988,"Wood",1,3,1353.38936796088
1983,1989,"Wood",1,4,2.81789628812643
1983,1990,"Wood",1,5,0
1983,1987,"Wood",2,1,0
1983,1988,"Wood",2,2,15.1137766347766
1983,1989,"Wood",2,3,113.649568475079
1983,1990,"Wood",2,4,0
1983,1988,"Wood",3,1,0
1983,1989,"Wood",3,2,0
1983,1990,"Wood",3,3,0
1983,1991,"Wood",3,4,0
1984,1986,"Wood",0,1,0.154968486457162
1984,1987,"Wood",0,2,4.65227760080952e-12
1984,1988,"Wood",0,3,7.20964552789433e-12
1984,1989,"Wood",0,4,1.24134481123235
1984,1990,"Wood",0,5,0
1984,1987,"Wood",1,1,0.381823930147657
1984,1988,"Wood",1,2,586.695162952895
1984,1989,"Wood",1,3,1498.99989372902
1984,1990,"Wood",1,4,16.1121504193228
1984,1991,"Wood",1,5,0
1984,1988,"Wood",2,1,0
1984,1989,"Wood",2,2,80.6789621830852
1984,1990,"Wood",2,3,34.5578850816372
1984,1991,"Wood",2,4,0
1984,1989,"Wood",3,1,0
1984,1990,"Wood",3,2,0
1984,1991,"Wood",3,3,0
1984,1992,"Wood",3,4,0
1985,1987,"Wood",0,1,0
1985,1988,"Wood",0,2,8.94106786674692
1985,1989,"Wood",0,3,16.1574403719932
1985,1990,"Wood",0,4,0.562767524797978
1985,1991,"Wood",0,5,0
1985,1988,"Wood",1,1,1.45452109624768
1985,1989,"Wood",1,2,1380.82230185249
1985,1990,"Wood",1,3,1822.59397986242
1985,1991,"Wood",1,4,3.6047063058312
1985,1992,"Wood",1,5,0
1985,1989,"Wood",2,1,0
1985,1990,"Wood",2,2,44.4703536875819
1985,1991,"Wood",2,3,24.7163860976435
1985,1992,"Wood",2,4,0.843129294738982
1985,1990,"Wood",3,1,0
1985,1991,"Wood",3,2,0
1985,1992,"Wood",3,3,0
1985,1993,"Wood",3,4,0
1986,1988,"Wood",0,1,0
1986,1989,"Wood",0,2,3.18757261019307
1986,1990,"Wood",0,3,31.9467078179106
1986,1991,"Wood",0,4,1.26070100090213
1986,1992,"Wood",0,5,0
1986,1989,"Wood",1,1,2.18665410116098
1986,1990,"Wood",1,2,1225.88375435902
1986,1991,"Wood",1,3,2760.10806285748
1986,1992,"Wood",1,4,20.8852223852628
1986,1993,"Wood",1,5,0
1986,1990,"Wood",2,1,0
1986,1991,"Wood",2,2,52.6914985044097
1986,1992,"Wood",2,3,78.1546640718495
1986,1993,"Wood",2,4,0
1986,1991,"Wood",3,1,0
1986,1992,"Wood",3,2,0
1986,1993,"Wood",3,3,0
1986,1994,"Wood",3,4,0
1987,1989,"Wood",0,1,0
1987,1990,"Wood",0,2,18.9952674730165
1987,1991,"Wood",0,3,74.928933415031
1987,1992,"Wood",0,4,16.959267269575
1987,1993,"Wood",0,5,0
1987,1990,"Wood",1,1,0
1987,1991,"Wood",1,2,1579.96535420733
1987,1992,"Wood",1,3,991.109369232489
1987,1993,"Wood",1,4,6.77675949827929
1987,1994,"Wood",1,5,0
1987,1991,"Wood",2,1,0.148419423677987
1987,1992,"Wood",2,2,87.9047223262223
1987,1993,"Wood",2,3,121.126068947513
1987,1994,"Wood",2,4,3.99376109230835e-11
1987,1992,"Wood",3,1,0
1987,1993,"Wood",3,2,0
1987,1994,"Wood",3,3,0
1987,1995,"Wood",3,4,0
1988,1990,"Wood",0,1,0
1988,1991,"Wood",0,2,7.72301760120038
1988,1992,"Wood",0,3,18.8679472163515
1988,1993,"Wood",0,4,4.36796181638104
1988,1994,"Wood",0,5,0
1988,1991,"Wood",1,1,1.12372960466152
1988,1992,"Wood",1,2,1850.50632317076
1988,1993,"Wood",1,3,1935.32326109797
1988,1994,"Wood",1,4,12.6801691006537
1988,1995,"Wood",1,5,0
1988,1992,"Wood",2,1,0
1988,1993,"Wood",2,2,90.1168642015942
1988,1994,"Wood",2,3,57.2119324501857
1988,1995,"Wood",2,4,0.948850734131535
1988,1993,"Wood",3,1,0
1988,1994,"Wood",3,2,0
1988,1995,"Wood",3,3,0
1988,1996,"Wood",3,4,0
1989,1991,"Wood",0,1,0
1989,1992,"Wood",0,2,2.34919030481382
1989,1993,"Wood",0,3,19.8409060753802
1989,1994,"Wood",0,4,5.48736280158065e-11
1989,1995,"Wood",0,5,0
1989,1992,"Wood",1,1,4.10994372806682
1989,1993,"Wood",1,2,2563.48726427029
1989,1994,"Wood",1,3,2443.44652830819
1989,1995,"Wood",1,4,2.44660485384873
1989,1996,"Wood",1,5,0
1989,1993,"Wood",2,1,0
1989,1994,"Wood",2,2,23.8637340532572
1989,1995,"Wood",2,3,46.7466006263911
1989,1996,"Wood",2,4,0
1989,1994,"Wood",3,1,0
1989,1995,"Wood",3,2,0
1989,1996,"Wood",3,3,0
1989,1997,"Wood",3,4,0
1990,1992,"Wood",0,1,0
1990,1993,"Wood",0,2,5.65067945099754
1990,1994,"Wood",0,3,23.3653120864923
1990,1995,"Wood",0,4,5.42609532832211
1990,1996,"Wood",0,5,0
1990,1993,"Wood",1,1,1.44211172103988
1990,1994,"Wood",1,2,1122.28338620057
1990,1995,"Wood",1,3,1824.00900482649
1990,1996,"Wood",1,4,4.64435344132587
1990,1997,"Wood",1,5,0.911030672365227
1990,1994,"Wood",2,1,1.4363186535508
1990,1995,"Wood",2,2,301.350520146334
1990,1996,"Wood",2,3,264.539853567975
1990,1997,"Wood",2,4,8.70911037547406e-12
1990,1995,"Wood",3,1,0
1990,1996,"Wood",3,2,0
1990,1997,"Wood",3,3,0.619324076159655
1990,1998,"Wood",3,4,0
1991,1993,"Wood",0,1,0
1991,1994,"Wood",0,2,3.60036605342616e-12
1991,1995,"Wood",0,3,8.27104631280125
1991,1996,"Wood",0,4,1.04910505971142e-11
1991,1997,"Wood",0,5,0
1991,1994,"Wood",1,1,12.3070191636498
1991,1995,"Wood",1,2,2739.16672702597
1991,1996,"Wood",1,3,3167.63324941956
1991,1997,"Wood",1,4,65.0184804499313
1991,1998,"Wood",1,5,0
1991,1995,"Wood",2,1,0
1991,1996,"Wood",2,2,51.0767860222937
1991,1997,"Wood",2,3,66.6597652717478
1991,1998,"Wood",2,4,0.132086536706003
1991,1996,"Wood",3,1,0
1991,1997,"Wood",3,2,0
1991,1998,"Wood",3,3,0
1991,1999,"Wood",3,4,0
1992,1994,"Wood",0,1,0
1992,1995,"Wood",0,2,8.95254555706488
1992,1996,"Wood",0,3,77.6583747119057
1992,1997,"Wood",0,4,6.08809728502475
1992,1998,"Wood",0,5,0
1992,1995,"Wood",1,1,1.2952268207384
1992,1996,"Wood",1,2,2380.88583567677
1992,1997,"Wood",1,3,1931.60899752227
1992,1998,"Wood",1,4,6.13591167732951e-12
1992,1999,"Wood",1,5,0
1992,1996,"Wood",2,1,0
1992,1997,"Wood",2,2,85.2585569131565
1992,1998,"Wood",2,3,45.4237092131464
1992,1999,"Wood",2,4,1.18174213839484
1992,1997,"Wood",3,1,0
1992,1998,"Wood",3,2,0.769752012337853
1992,1999,"Wood",3,3,0
1992,2000,"Wood",3,4,0
1993,1995,"Wood",0,1,0
1993,1996,"Wood",0,2,13.4052819340173
1993,1997,"Wood",0,3,1.68122854114509
1993,1998,"Wood",0,4,4.10907765877714
1993,1999,"Wood",0,5,0
1993,1996,"Wood",1,1,0
1993,1997,"Wood",1,2,1710.29646458879
1993,1998,"Wood",1,3,1233.24143524435
1993,1999,"Wood",1,4,2.58775936684429
1993,2000,"Wood",1,5,0
1993,1997,"Wood",2,1,0
1993,1998,"Wood",2,2,138.580944540375
1993,1999,"Wood",2,3,163.436763538962
1993,2000,"Wood",2,4,0
1993,1998,"Wood",3,1,0
1993,1999,"Wood",3,2,0
1993,2000,"Wood",3,3,0
1993,2001,"Wood",3,4,0
1994,1996,"Wood",0,1,0
1994,1997,"Wood",0,2,0
1994,1998,"Wood",0,3,6.84182728121302e-11
1994,1999,"Wood",0,4,0
1994,2000,"Wood",0,5,0
1994,1997,"Wood",1,1,10.8919498666313
1994,1998,"Wood",1,2,2990.51669954421
1994,1999,"Wood",1,3,2383.37395964543
1994,2000,"Wood",1,4,2.87402619446928
1994,2001,"Wood",1,5,0
1994,1998,"Wood",2,1,0.489359673254071
1994,1999,"Wood",2,2,400.065852802241
1994,2000,"Wood",2,3,99.1160223541334
1994,2001,"Wood",2,4,0
1994,1999,"Wood",3,1,0
1994,2000,"Wood",3,2,0
1994,2001,"Wood",3,3,0
1994,2002,"Wood",3,4,0
1995,1997,"Wood",0,1,0
1995,1998,"Wood",0,2,0.418515129875493
1995,1999,"Wood",0,3,0
1995,2000,"Wood",0,4,0
1995,2001,"Wood",0,5,0
1995,1998,"Wood",1,1,7.33607822762095
1995,1999,"Wood",1,2,4452.43493814906
1995,2000,"Wood",1,3,3217.08702792887
1995,2001,"Wood",1,4,9.31903401261655
1995,2002,"Wood",1,5,0
1995,1999,"Wood",2,1,0
1995,2000,"Wood",2,2,117.39806477986
1995,2001,"Wood",2,3,40.7420057361275
1995,2002,"Wood",2,4,0
1995,2000,"Wood",3,1,0
1995,2001,"Wood",3,2,0
1995,2002,"Wood",3,3,0
1995,2003,"Wood",3,4,0
1996,1998,"Wood",0,1,0
1996,1999,"Wood",0,2,0
1996,2000,"Wood",0,3,0
1996,2001,"Wood",0,4,0
1996,2002,"Wood",0,5,0
1996,1999,"Wood",1,1,0
1996,2000,"Wood",1,2,3104.64330313033
1996,2001,"Wood",1,3,4383.74544721192
1996,2002,"Wood",1,4,21.3329820835979
1996,2003,"Wood",1,5,0
1996,2000,"Wood",2,1,0
1996,2001,"Wood",2,2,2.90044984345796
1996,2002,"Wood",2,3,17.3228482528966
1996,2003,"Wood",2,4,0
1996,2001,"Wood",3,1,0
1996,2002,"Wood",3,2,0
1996,2003,"Wood",3,3,0
1996,2004,"Wood",3,4,0
1997,1999,"Wood",0,1,0
1997,2000,"Wood",0,2,0
1997,2001,"Wood",0,3,0
1997,2002,"Wood",0,4,0
1997,2003,"Wood",0,5,0
1997,2000,"Wood",1,1,0
1997,2001,"Wood",1,2,204.615171809202
1997,2002,"Wood",1,3,584.427046511976
1997,2003,"Wood",1,4,25.5292719401949
1997,2004,"Wood",1,5,8.68009732220676e-12
1997,2001,"Wood",2,1,0
1997,2002,"Wood",2,2,194.836391392085
1997,2003,"Wood",2,3,227.699239150571
1997,2004,"Wood",2,4,0.181147028402543
1997,2002,"Wood",3,1,0
1997,2003,"Wood",3,2,0
1997,2004,"Wood",3,3,0.02850558550472
1997,2005,"Wood",3,4,0
1998,2000,"Wood",0,1,0
1998,2001,"Wood",0,2,0
1998,2002,"Wood",0,3,0.748920626275951
1998,2003,"Wood",0,4,0
1998,2004,"Wood",0,5,0
1998,2001,"Wood",1,1,2.77646904398716
1998,2002,"Wood",1,2,3038.3335432708
1998,2003,"Wood",1,3,3535.68250472069
1998,2004,"Wood",1,4,5.31546440985671
1998,2005,"Wood",1,5,0
1998,2002,"Wood",2,1,0.899987382517962
1998,2003,"Wood",2,2,148.016764366941
1998,2004,"Wood",2,3,134.874823303544
1998,2005,"Wood",2,4,0.314432436104868
1998,2003,"Wood",3,1,0
1998,2004,"Wood",3,2,0
1998,2005,"Wood",3,3,0
1998,2006,"Wood",3,4,0
1999,2001,"Wood",0,1,0
1999,2002,"Wood",0,2,1.09457629994178
1999,2003,"Wood",0,3,0
1999,2004,"Wood",0,4,0
1999,2005,"Wood",0,5,0
1999,2002,"Wood",1,1,0.725249084375126
1999,2003,"Wood",1,2,2291.69973757299
1999,2004,"Wood",1,3,2609.49874955219
1999,2005,"Wood",1,4,8.21888684225988
1999,2006,"Wood",1,5,0
1999,2003,"Wood",2,1,0.44780302124864
1999,2004,"Wood",2,2,399.870910907273
1999,2005,"Wood",2,3,309.514197566259
1999,2006,"Wood",2,4,0
1999,2004,"Wood",3,1,0
1999,2005,"Wood",3,2,0
1999,2006,"Wood",3,3,0
1999,2007,"Wood",3,4,0.0352176533991905
2000,2002,"Wood",0,1,0
2000,2003,"Wood",0,2,0
2000,2004,"Wood",0,3,0
2000,2005,"Wood",0,4,0
2000,2006,"Wood",0,5,0
2000,2003,"Wood",1,1,4.2968636813709
2000,2004,"Wood",1,2,3280.70536948855
2000,2005,"Wood",1,3,3230.09422067033
2000,2006,"Wood",1,4,60.7847744562739
2000,2007,"Wood",1,5,2.60134625150788e-09
2000,2004,"Wood",2,1,0
2000,2005,"Wood",2,2,112.747788294284
2000,2006,"Wood",2,3,550.290435233913
2000,2007,"Wood",2,4,5.51785265462405e-12
2000,2005,"Wood",3,1,0
2000,2006,"Wood",3,2,0
2000,2007,"Wood",3,3,0
2000,2008,"Wood",3,4,0
2001,2003,"Wood",0,1,0
2001,2004,"Wood",0,2,0
2001,2005,"Wood",0,3,0
2001,2006,"Wood",0,4,2.38629869214786e-11
2001,2007,"Wood",0,5,0
2001,2004,"Wood",1,1,0
2001,2005,"Wood",1,2,2176.25913665821
2001,2006,"Wood",1,3,5495.80117948832
2001,2007,"Wood",1,4,13.5268353224493
2001,2008,"Wood",1,5,0
2001,2005,"Wood",2,1,0
2001,2006,"Wood",2,2,562.702140515434
2001,2007,"Wood",2,3,62.0438714674345
2001,2008,"Wood",2,4,0
2001,2006,"Wood",3,1,1.35716938656329
2001,2007,"Wood",3,2,0
2001,2008,"Wood",3,3,0
2001,2009,"Wood",3,4,0
2002,2004,"Wood",0,1,0
2002,2005,"Wood",0,2,0
2002,2006,"Wood",0,3,27.8558593496635
2002,2007,"Wood",0,4,0
2002,2008,"Wood",0,5,0
2002,2005,"Wood",1,1,44.385763239695
2002,2006,"Wood",1,2,5937.28388446856
2002,2007,"Wood",1,3,2121.06295633507
2002,2008,"Wood",1,4,1.70994597160928e-11
2002,2009,"Wood",1,5,0
2002,2006,"Wood",2,1,0
2002,2007,"Wood",2,2,236.544500564186
2002,2008,"Wood",2,3,41.8494225851391
2002,2009,"Wood",2,4,0
2002,2007,"Wood",3,1,0
2002,2008,"Wood",3,2,0
2002,2009,"Wood",3,3,0
2002,2010,"Wood",3,4,0
2003,2005,"Wood",0,1,0
2003,2006,"Wood",0,2,4.41884996157493e-12
2003,2007,"Wood",0,3,0
2003,2008,"Wood",0,4,5.12983791587141e-12
2003,2009,"Wood",0,5,0
2003,2006,"Wood",1,1,4.13974833188124
2003,2007,"Wood",1,2,5350.24561154718
2003,2008,"Wood",1,3,2811.16429411134
2003,2009,"Wood",1,4,49.7555047518168
2003,2010,"Wood",1,5,0
2003,2007,"Wood",2,1,0
2003,2008,"Wood",2,2,37.7529984207907
2003,2009,"Wood",2,3,87.0319613718577
2003,2010,"Wood",2,4,0
2003,2008,"Wood",3,1,0
2003,2009,"Wood",3,2,0
2003,2010,"Wood",3,3,0
2003,2011,"Wood",3,4,0
2004,2006,"Wood",0,1,0
2004,2007,"Wood",0,2,0
2004,2008,"Wood",0,3,1.02596726052047e-11
2004,2009,"Wood",0,4,0
2004,2010,"Wood",0,5,0
2004,2007,"Wood",1,1,10.7844738201332
2004,2008,"Wood",1,2,3914.07652454261
2004,2009,"Wood",1,3,3867.60264820086
2004,2010,"Wood",1,4,23.5010662585408
2004,2011,"Wood",1,5,0
2004,2008,"Wood",2,1,0
2004,2009,"Wood",2,2,112.868386957441
2004,2010,"Wood",2,3,137.251199610012
2004,2011,"Wood",2,4,0
2004,2009,"Wood",3,1,0
2004,2010,"Wood",3,2,0
2004,2011,"Wood",3,3,0
2004,2012,"Wood",3,4,0
2005,2007,"Wood",0,1,0
2005,2008,"Wood",0,2,6.83982022974824e-12
2005,2009,"Wood",0,3,0
2005,2010,"Wood",0,4,1.71308342619165
2005,2011,"Wood",0,5,0
2005,2008,"Wood",1,1,2.05192782716129e-11
2005,2009,"Wood",1,2,2515.74297661026
2005,2010,"Wood",1,3,3860.07930013579
2005,2011,"Wood",1,4,9.69770557680567
2005,2012,"Wood",1,5,0
2005,2009,"Wood",2,1,0
2005,2010,"Wood",2,2,235.871353075303
2005,2011,"Wood",2,3,95.4628126883417
2005,2012,"Wood",2,4,0.296867457078919
2005,2010,"Wood",3,1,0
2005,2011,"Wood",3,2,0
2005,2012,"Wood",3,3,0
2005,2013,"Wood",3,4,0
2006,2008,"Wood",0,1,0
2006,2009,"Wood",0,2,0
2006,2010,"Wood",0,3,0.405119381352085
2006,2011,"Wood",0,4,2.35668011206484
2006,2012,"Wood",0,5,0
2006,2009,"Wood",1,1,40.6770334732011
2006,2010,"Wood",1,2,4545.89960078363
2006,2011,"Wood",1,3,3188.31758366476
2006,2012,"Wood",1,4,16.1837096447736
2006,2013,"Wood",1,5,0
2006,2010,"Wood",2,1,2.33363431699159
2006,2011,"Wood",2,2,185.856810906484
2006,2012,"Wood",2,3,52.9552014198191
2006,2013,"Wood",2,4,0
2006,2011,"Wood",3,1,0
2006,2012,"Wood",3,2,0
2006,2013,"Wood",3,3,0
2006,2014,"Wood",3,4,0
2007,2009,"Wood",0,1,0
2007,2010,"Wood",0,2,0.106828735904747
2007,2011,"Wood",0,3,4.1309008829504e-12
2007,2012,"Wood",0,4,7.97167830176682e-12
2007,2013,"Wood",0,5,0
2007,2010,"Wood",1,1,2.5056877592649
2007,2011,"Wood",1,2,1466.82717641917
2007,2012,"Wood",1,3,1145.26491041637
2007,2013,"Wood",1,4,1.27551125372052
2007,2014,"Wood",1,5,0
2007,2011,"Wood",2,1,0
2007,2012,"Wood",2,2,175.481710702606
2007,2013,"Wood",2,3,34.6091266707675
2007,2014,"Wood",2,4,0
2007,2012,"Wood",3,1,0
2007,2013,"Wood",3,2,0
2007,2014,"Wood",3,3,0
2007,2015,"Wood",3,4,0
2008,2010,"Wood",0,1,0
2008,2011,"Wood",0,2,0.687122301655
2008,2012,"Wood",0,3,7.06639253085304e-09
2008,2013,"Wood",0,4,0
2008,2014,"Wood",0,5,0
2008,2011,"Wood",1,1,2.26823960305547e-10
2008,2012,"Wood",1,2,1307.14575974909
2008,2013,"Wood",1,3,1776.71985379418
2008,2014,"Wood",1,4,20.5852561213869
2008,2015,"Wood",1,5,0
2008,2012,"Wood",2,1,0
2008,2013,"Wood",2,2,47.8067037893441
2008,2014,"Wood",2,3,67.1580299859483
2008,2015,"Wood",2,4,1.02623460472441
2008,2013,"Wood",3,1,0
2008,2014,"Wood",3,2,0
2008,2015,"Wood",3,3,0
2008,2016,"Wood",3,4,0
2009,2011,"Wood",0,1,0
2009,2012,"Wood",0,2,3.98584104763217e-12
2009,2013,"Wood",0,3,2.91727049257215e-12
2009,2014,"Wood",0,4,7.83242827854321e-12
2009,2015,"Wood",0,5,0
2009,2012,"Wood",1,1,1.79049883733936
2009,2013,"Wood",1,2,1383.00378793125
2009,2014,"Wood",1,3,2057.08657297164
2009,2015,"Wood",1,4,8.06668444441309e-12
2009,2016,"Wood",1,5,0
2009,2013,"Wood",2,1,1.62716863483966
2009,2014,"Wood",2,2,209.067537679206
2009,2015,"Wood",2,3,68.0123118230094
2009,2016,"Wood",2,4,0.55261635864831
2009,2014,"Wood",3,1,0
2009,2015,"Wood",3,2,0
2009,2016,"Wood",3,3,0
2009,2017,"Wood",3,4,0
2010,2012,"Wood",0,1,0
2010,2013,"Wood",0,2,0
2010,2014,"Wood",0,3,6.30060752738451
2010,2015,"Wood",0,4,0
2010,2016,"Wood",0,5,0
2010,2013,"Wood",1,1,41.8261110899922
2010,2014,"Wood",1,2,4798.04678956287
2010,2015,"Wood",1,3,1989.08334850118
2010,2016,"Wood",1,4,13.5329478915065
2010,2017,"Wood",1,5,3.8826001154085
2010,2014,"Wood",2,1,1.2376418262591
2010,2015,"Wood",2,2,214.841857614901
2010,2016,"Wood",2,3,58.4214614774472
2010,2017,"Wood",2,4,0
2010,2015,"Wood",3,1,0
2010,2016,"Wood",3,2,0
2010,2017,"Wood",3,3,0
2010,2018,"Wood",3,4,0
2011,2013,"Wood",0,1,0
2011,2014,"Wood",0,2,0
2011,2015,"Wood",0,3,9.01580628414141e-12
2011,2016,"Wood",0,4,1.22923269902491
2011,2017,"Wood",0,5,0
2011,2014,"Wood",1,1,10.4123229927235
2011,2015,"Wood",1,2,2666.46035145896
2011,2016,"Wood",1,3,2859.73674639226
2011,2017,"Wood",1,4,1.0992044002401
2011,2018,"Wood",1,5,0
2011,2015,"Wood",2,1,2.94587341413578
2011,2016,"Wood",2,2,105.680451345522
2011,2017,"Wood",2,3,1.09920440026861
2011,2018,"Wood",2,4,0
2011,2016,"Wood",3,1,0
2011,2017,"Wood",3,2,0
2011,2018,"Wood",3,3,0.912512609142595
2011,2019,"Wood",3,4,0
2012,2014,"Wood",0,1,0
2012,2015,"Wood",0,2,0
2012,2016,"Wood",0,3,4.1745859822023
2012,2017,"Wood",0,4,0
2012,2018,"Wood",0,5,0
2012,2015,"Wood",1,1,77.2152477707544
2012,2016,"Wood",1,2,3133.42309669789
2012,2017,"Wood",1,3,1384.22579766987
2012,2018,"Wood",1,4,7.27361394396414e-12
2012,2019,"Wood",1,5,0
2012,2016,"Wood",2,1,0
2012,2017,"Wood",2,2,56.375811879954
2012,2018,"Wood",2,3,3.09127601988185e-11
2012,2019,"Wood",2,4,0
2012,2017,"Wood",3,1,0
2012,2018,"Wood",3,2,0
2012,2019,"Wood",3,3,0
2012,2020,"Wood",3,4,0
2013,2015,"Wood",0,1,0
2013,2016,"Wood",0,2,0
2013,2017,"Wood",0,3,0
2013,2018,"Wood",0,4,0
2013,2019,"Wood",0,5,0
2013,2016,"Wood",1,1,207.823490085285
2013,2017,"Wood",1,2,9677.40999317808
2013,2018,"Wood",1,3,2368.58127088527
2013,2019,"Wood",1,4,0.0759328461197777
2013,2020,"Wood",1,5,0
2013,2017,"Wood",2,1,0
2013,2018,"Wood",2,2,57.5168687707792
2013,2019,"Wood",2,3,52.0299673800826
2013,2020,"Wood",2,4,0
2013,2018,"Wood",3,1,0
2013,2019,"Wood",3,2,0
2013,2020,"Wood",3,3,0
2013,2021,"Wood",3,4,1.05233863918401e-09
2014,2016,"Wood",0,1,0
2014,2017,"Wood",0,2,0
2014,2018,"Wood",0,3,3.13483311719454
2014,2019,"Wood",0,4,0
2014,2020,"Wood",0,5,0
2014,2017,"Wood",1,1,163.320939223872
2014,2018,"Wood",1,2,20246.4919715116
2014,2019,"Wood",1,3,3790.59852063182
2014,2020,"Wood",1,4,0.975109693044262
2014,2021,"Wood",1,5,1.05234209475887e-09
2014,2018,"Wood",2,1,3.53525546433544
2014,2019,"Wood",2,2,340.940067452552
2014,2020,"Wood",2,3,11.8533180968008
2014,2021,"Wood",2,4,1.05233863918401e-09
2014,2019,"Wood",3,1,0
2014,2020,"Wood",3,2,0
2014,2021,"Wood",3,3,1.05233577547595e-09
2014,2022,"Wood",3,4,1.04551480410187e-09
2015,2017,"Wood",0,1,0
2015,2018,"Wood",0,2,0
2015,2019,"Wood",0,3,0
2015,2020,"Wood",0,4,0
2015,2021,"Wood",0,5,1.05234209475887e-09
2015,2018,"Wood",1,1,3.63681473282976e-12
2015,2019,"Wood",1,2,8064.80700764855
2015,2020,"Wood",1,3,2193.17914361451
2015,2021,"Wood",1,4,0.120998373671155
2015,2022,"Wood",1,5,1.04553231409792e-09
2015,2019,"Wood",2,1,4.77094185559729
2015,2020,"Wood",2,2,38.5419714329798
2015,2021,"Wood",2,3,75.5916456532004
2015,2022,"Wood",2,4,1.04551480410187e-09
2015,2020,"Wood",3,1,0
2015,2021,"Wood",3,2,1.05234529956014e-09
2015,2022,"Wood",3,3,1.04551423119833e-09
2015,2023,"Wood",3,4,1.01611437193665e-09
2016,2018,"Wood",0,1,0
2016,2019,"Wood",0,2,0
2016,2020,"Wood",0,3,0
2016,2021,"Wood",0,4,1.05233863918401e-09
2016,2022,"Wood",0,5,1.04553231409792e-09
2016,2019,"Wood",1,1,87.5177015094692
2016,2020,"Wood",1,2,5724.07637612573
2016,2021,"Wood",1,3,1013.26872333528
2016,2022,"Wood",1,4,13.005462521701
2016,2023,"Wood",1,5,1.01611174565074e-09
2016,2020,"Wood",2,1,0
2016,2021,"Wood",2,2,429.452954801573
2016,2022,"Wood",2,3,183.907062496337
2016,2023,"Wood",2,4,1.01611437193665e-09
2016,2021,"Wood",3,1,1.05229473555393e-09
2016,2022,"Wood",3,2,1.04551868628293e-09
2016,2023,"Wood",3,3,1.01611416224412e-09
2017,2019,"Wood",0,1,0
2017,2020,"Wood",0,2,0
2017,2021,"Wood",0,3,1.05233577547595e-09
